uid,class,observations,anomaly_max,p_reject_mean
305,wrong_size,3,8.827334280483155,0.22291995768878237
306,good,3,2.260253273028883,0.00012975428495855742
308,odd_colour,3,198.71516711467686,0.9664219323550437
309,odd_colour,3,143.5898548324199,0.972541139571255
310,good,4,5.457899514390493,0.0034656872583095463
311,good,4,2.9816306109731863,0.008142527440954561
312,good,2,9.028044413962578,0.39634270037888863
313,good,3,2.6674223427324923,1.2842315991629891e-05
314,good,2,2.2308640333886696,0.007986130884320854
315,odd_colour,3,141.94801776722997,0.9695538611905347
316,good,3,4.655077816869374,0.017750723103435742
317,plastic_chip,3,19.733616119022248,0.2693712510732477
318,good,3,2.0823322557805963,0.0003048738069701023
319,good,4,4.3376488836762785,0.00011537766494637932
320,good,3,4.260234092612406,0.0001638087417030063
321,good,3,4.402149835922849,0.010602130747190503
322,good,3,3.9472337508383513,0.008115763365447204
323,good,3,3.304379681991174,0.3363454736420563
325,good,4,1.9213701716628766,0.016128683061442585
326,good,4,2.57500294691831,0.003449457806567326
327,good,3,2.5097610778505297,6.655591679862144e-05
328,wrong_size,3,8.242849800826603,0.018335031810396266
329,good,4,2.336661937831851,0.0021049020398156535
330,good,4,2.339135582243681,2.4734117561080886e-05
331,good,3,1.9728195756997424,9.006374160610147e-06
332,good,4,2.86020583906664,0.00260740161459509
333,odd_colour,3,268.95342152652483,0.9929299528228381
334,odd_colour,4,188.76414110727646,0.8771238390177756
335,good,1,2.845549360194912,0.0016986954862262247
336,good,3,3.1263291804988635,0.00025674926168619546
337,odd_colour,3,137.73117949442874,0.97664737063548
338,good,3,3.1302110802577285,0.00020202656606237404
339,good,4,2.457677111647937,0.01117601948095322
340,plastic_chip,3,21.771830791685147,0.45773689837947207
341,good,3,2.2944014776220363,0.046570669897496
342,odd_colour,3,125.85410165033848,0.8809268160395766
343,good,4,6.997559121235953,0.0017787635396847108
344,good,3,2.243959826089376,0.0131783615830739
345,good,3,2.637218035081692,1.795564432106186e-05
347,good,3,2.3066976020501877,1.683519561651548e-05
348,good,2,4.639458052374689,0.752875617096882
349,wrong_size,3,7.8673845141536285,0.0010000564631764935
